호선명,역이름,관광지명,관광지 주소
1호선,소요산,소요산산림욕장,경기도 동두천시 상봉암동 15-2
1호선,보산,소요산탑온천랜드,경기도 동두천시 장고갯로 161-35
1호선,동두천중앙,소요산탑유황온천,경기도 동두천시 장고갯로 161-35 (생연동)
1호선,소요산,소요생활체육공원,경기도 동두천시 상봉암동
5호선,왕십리,소월아트홀,서울특별시 성동구 왕십리로 281 성동문화회관
1호선,진위,소풍,경기도 평택시 진위면 하북3길 25-59
2호선,충청로,손기정기념관,서울특별시 중구 손기정로 101 손기정공원
9호선,송파나루,송리단길,서울특별시 송파구 백제고분로43길 23
1호선,송탄,송탄관광특구,경기도 평택시 신장동
5호선,우장산역,송화시장,서울특별시 강서구 강서로 263-29
7호선,수락산,수락산,서울특별시 노원구 상계동
1호선,수원,수원향교,경기도 수원시 팔달구 향교로 107-9 수원향교
1호선,수원,수원화성,경기도 수원시 장안구 영화동 320-2
1호선,수원,수원화성서남암문,경기도 수원시 팔달구 교동
1호선,수원,수원화성효원의종,경기도 수원시 팔달구 남창동 55-23
3호선,동대입구,수표교,서울특별시 종로구 관수동
3호선,동대입구,수표교,서울특별시 중구 장충동2가
3호선,백석,수피아,경기도 고양시 일산동구 강촌로26번길 7-4
5호선,여의나루,순복음교회,서울특별시 영등포구 국회대로76길 15
1호선,서울역,숭례문,서울특별시 중구 세종대로 40
4호선,서울역,숭례문,서울특별시 중구 세종대로 40
1호선,동두천,숭모재강릉김씨사당,경기도 동두천시 안흥동
6호선,보문,숲과사람들,서울특별시 성북구 안암로 145 5층 503호
5호선,목동,스페이스랩 목동센터,서울특별시 양천구 중앙로32길 75 2층 스페이스랩
3호선,종로3가,승동교회,서울특별시 종로구 인사동
5호선,종로3가,승동교회,서울특별시 종로구 인사동
5호선,광나루역,시립서울천문대,서울특별시 광진구 구천면로 2
1호선,종로3가,신간회창립본부터,서울특별시 종로구 관수동
5호선,종로3가,신간회창립본부터,서울특별시 종로구 관수동
7호선,신풍,신길벚꽃거리,서울특별시 영등포구 신길동
2호선,신당,신당동떡복이골목,서울특별시 신당동 304-684 청구역 2호선
6호선,신당,신당동떡복이골목,서울특별시 신당동 304-684 청구역 6호선
5호선,청구,신당동떡볶이타운,서울특별시 신당동 304-684 청구역 5호선
2호선,신당,신당동박정희대통령가옥,서울특별시 중구 다산로36가길 25
6호선,신당,신당동박정희대통령가옥,서울특별시 중구 다산로36가길 25
2호선,신림,신림동 순대타운,서울특별시 관악구 신림로59길 12 양지순대촌
5호선,광화문,신문박물관,"서울특별시 종로구 세종대로 152 일민미술관건물 5,6층"
3호선,신사,신사동 아구찜 골목,서울특별시 서초구 잠원동
3호선,신사,신사동간장게장골목,서울특별시 서초구 강남대로99길 28 새서울맨션
5호선,아차산,신성종합시장,서울특별시 광진구 영화사로 10
1호선,온양온천,신정관 온천탕,충청남도 아산시 시민로 385 신정관
1호선,신창,신정호,충청남도 아산시 신정로 616 신정호공원
1호선,신창,신정호국민관광지,충청남도 아산시 신정로 616 신정호공원
1호선,신창,신창향교,충청남도 아산시 신창면 서부남로840번길 29
1호선,온양온천,신천탕,충청남도 아산시 온천대로 1469
9호선,구반포,심산기념문화센터,서울특별시 서초구 사평대로 55
7호선,내방,심산김창숙기념관,"서울특별시 서초구 사평대로 55 서초구민체육센터,심산기념문화센터"
3호선,안국,쌈지길,서울특별시 종로구 인사동길 44 쌈지길
1호선,덕계,쏘쿡체험카페,경기도 양주시 청담로 191 2층 서편
7호선,삼산체육관,아인스워터월드,경기도 부천시 길주로 1
7호선,삼산체육관,아인스월드,경기도 부천시 도약로 1
1호선,망월사,아일랜드 캐슬,경기도 의정부시 장곡로 22
7호선,장암,아일랜드 캐슬,경기도 의정부시 장곡로 22
5호선,아차산,아차산공원,서울특별시 광진구 광장동 370-2 아차산 생태공원
5호선,아차산,아차산성,서울특별시 광진구 광장동
7호선,마들,아쿠아윌,서울특별시 노원구 한글비석로48길 25
3호선,주엽,아쿠아플라넷 일산,경기도 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산
3호선,안국,아트선재센터,서울특별시 종로구 율곡로3길 87 아트선재센터
5호선,광나루역,악스코리아(AX-KOREA),서울특별시 광진구 구천면로 20
4호선,안산,안산다문화음식거리,경기도 안산시 단원구 원곡동 870
4호선,한대앞,안산식물원,경기도 안산시 상록구 성호로 113 안산식물원
6호선,창신역,안양암,서울특별시 종로구 창신5길 59-2
7호선,부천시청,안중근공원,경기도 부천시 송내대로 236
8호선,암사,암사동 선사주거지,서울특별시 강동구 올림픽로 875 암사선사유적전시관
8호선,암사,암사생태공원,서울특별시 강동구 암사동 616-1
7호선,강남구청,압구정로데오거리,서울특별시 강남구 신사동
5호선,둔촌동,애니멀 뮤지엄 더쥬,서울특별시 강동구 양재대로 1299 우용빌딩 2층
9호선,올림픽공원,애니멀 뮤지엄 더쥬,서울특별시 강동구 양재대로 1299 우용빌딩 2층
5호선,방화,약사사,서울특별시 강서구 금낭화로17길 261 약사사
2호선,충정로,약현성당,서울특별시 중구 청파로 447-1
3호선,양재,양재시민의 숲,서울특별시 서초구 매헌로 99
1호선,양주,양주 대모산성,경기도 양주시 어둔동
1호선,양주,양주향교,경기도 양주시 부흥로1423번길 50 (유양동)
9호선,양천향교,양천향교,서울특별시 강서구 양천로47나길 53
5호선,아차산,어린이대공원,서울특별시 광진구 능동로 216
7호선,어린이대공원,어린이대공원,서울특별시 광진구 능동로 216
3호선,동대입구,어영창터,서울특별시 중구 장충동2가
5호선,여의도,여의도 한강공원샛강생태공원,서울특별시 영등포구 여의도동 49
1호선,대방,여의도샛강생태공원,서울특별시 영등포구 여의도동 49
5호선,여의도,여의도샛강생태공원,서울특별시 영등포구 여의도동 49
1호선,종로3가,연강홀,서울특별시 종로구 종로33길 15
5호선,종로3가,연강홀,서울특별시 종로구 종로33길 15
1호선,방학,연산군묘,서울특별시 도봉구 방학동
1호선,회기,연화사(서울),서울특별시 동대문구 경희대로3길 56
5호선,영등포시장,영등포시장,서울특별시 영등포구 영등포로 225
2호선,을지로3가,영락교회,서울특별시 중구 수표로 33
3호선,을지로3가,영락교회,서울특별시 중구 수표로 33
1호선,종각,영풍문고,서울특별시 종로구 청계천로 41
1호선,종각,영풍문고,서울특별시 종로구 청계천로 41
6호선,고려대,영휘원,서울특별시 동대문구 청량리동
3호선,남부터미널,예술의 전당,서울특별시 서초구 남부순환로 2406 예술의전당
3호선,남부터미널,예술의 전당 한가람미술관,서울특별시 서초구 남부순환로 2406
1호선,종로3가,오세창집터,서울특별시 종로구 돈의동
5호선,종로3가,오세창집터,서울특별시 종로구 돈의동
4호선,오이도,옥구공원,경기도 시흥시 서해안로 277 론볼 경기장 운영센터
3호선,충무로,옥인동 윤씨가옥,서울특별시 중구 퇴계로34길 28
4호선,충무로,옥인동 윤씨가옥,서울특별시 중구 퇴계로34길 28
1호선,온양온천,온양온천랜드,충청남도 아산시 삼동로28번길 46
5호선,올림픽공원(한국체대)역,올림픽 벨로드롬,서울특별시 송파구 올림픽로 424
5호선,올림픽공원(한국체대)역,올림픽 수영장,서울특별시 송파구 올림픽로 424 올림픽공원
5호선,올림픽공원(한국체대)역,올림픽 체조경기장,서울특별시 송파구 올림픽로 424
5호선,올림픽공원(한국체대)역,올림픽 테니스경기장,서울특별시 송파구 올림픽로 424 올림픽공원
8호선,몽촌토성(평화의문)역,올림픽공원,서울특별시 송파구 올림픽로 424
9호선,올림픽공원,올림픽공원,서울특별시 송파구 올림픽로 424
9호선,올림픽공원,올림픽공원 들꽃마루,서울특별시 송파구 올림픽로 424 올림픽공원
5호선,올림픽공원(한국체대)역,올림픽홀,서울특별시 송파구 올림픽로 424
1호선,의왕,왕송호수,경기도 의왕시 초평동
6호선,삼각지,왜고개 성지,서울특별시 용산구 한강대로40길 46
3호선,양재,외교박물관,서울특별시 서초구 남부순환로 2572
1호선,소요산,요석공주별궁지,경기도 동두천시 상봉암동
7호선,면목,용마랜드,서울특별시 중랑구 망우로70길 118
7호선,용마산,용마폭포공원,서울특별시 중랑구 용마산로 250-12 용마폭포공원관리사무소
1호선,용산,용산 전자상가,서울특별시 용산구 한강로2가
4호선,이촌,용산가족공원,서울특별시 용산구 서빙고로 137 국립중앙박물관
6호선,녹사평,용산가족공원,서울특별시 용산구 서빙고로 137 국립중앙박물관
9호선,염창,용왕산근린공원,서울특별시 양천구 목동중앙로 143
5호선,올림픽공원(한국체대)역,우리금융아트홀,서울특별시 송파구 올림픽로 424 올림픽공원
5호선,방화,우리말꿈터,서울특별시 강서구 금낭화로 154
1호선,직산,우리역사문화협동조합,충청남도 천안시 서북구 직산읍 삼은1길 2
2호선,구의,우리유황온천,서울특별시 광진구 자양로5길 33
5호선,우장산역,우장산 공원,서울특별시 강서구 화곡로 302
3호선,안국,운현궁,서울특별시 종로구 삼일대로 464 운현궁
5호선,종로3가,운현궁,서울특별시 종로구 삼일대로 464 운현궁
7호선,삼산체육관,웅진플레이도시,경기도 부천시 조마루로 2
1호선,시청,원구단,서울특별시 중구 소공동
2호선,시청,원구단,서울특별시 중구 소공동
1호선,망월사,원도봉유원지,경기도 의정부시 호원동 230-85
3호선,주엽,원마운트,경기도 고양시 일산서구 한류월드로 300
3호선,주엽,원마운트 스노우파크,경기도 고양시 일산서구 한류월드로 300
1호선,망월사,원효사(경기),경기도 의정부시 망월로28번길 356
1호선,망월사,월남전참전기념비,경기도 의정부시 호원동
6호선,월드컵경기장(성산)역,월드컵경기장,서울특별시 마포구 성산동 515-39
6호선,망원,월드컵시장,서울특별시 마포구 포은로 120
2호선,충정로,유관순기념관,서울특별시 중구 통일로4길 30-1 유관순기념관
5호선,서대문,유관순기념관,서울특별시 중구 통일로4길 30-1 유관순기념관
6호선,화랑대,육군박물관,서울특별시 노원구 공릉동 1-1
5호선,여의도,윤중로 벚꽃길,서울특별시 영등포구 여의도동
6호선,역촌,은평문화예술회관,서울특별시 은평구 녹번로 16 은평문화예술회관
8호선,남한산성입구,은행식물원,경기도 성남시 중원구 은행로 72
1호선,종로3가,을지로노가리골목,서울특별시 중구 을지로 129 을지로3가역 3호선
5호선,종로3가,을지로노가리골목,서울특별시 중구 을지로 129 을지로3가역 3호선
6호선,새절,응암동 감자탕 골목,서울특별시 은평구 응암동
6호선,상월곡(한국과학기술연구원)역,의릉,서울특별시 성북구 화랑로32길 146-37 한국예술종합학교
1호선,의왕,의왕레일파크,경기도 의왕시 왕송못동로 221
1호선,의정부,의정부 음악극축제,경기도 의정부시 의정로 1 의정부예술의전당 및 의정부 시내일원
1호선,의정부,의정부로데오거리,경기도 의정부시 의정부동
1호선,의정부,의정부부대찌개거리,경기도 의정부시 태평로137번길 22-1
1호선,의정부,의정부소풍길(쌍둥이길),경기도 의정부시 의정부동 35-11
1호선,녹양,의정부의류타운,경기도 의정부시 녹양동
1호선,종로3가,이벽집터,서울특별시 종로구 관수동
5호선,종로3가,이벽집터,서울특별시 종로구 관수동
3호선,경복궁,이상의집,서울특별시 종로구 자하문로7길 18
2호선,을지로3가,이순신생가터,서울특별시 중구 인현동1가
3호선,을지로3가,이순신생가터,서울특별시 중구 인현동1가
6호선,이태원,이태원 관광특구,서울특별시 용산구 이태원동
1호선,소요산,이태조행궁지,경기도 동두천시 상봉암동
4호선,혜화,이화마을,서울특별시 종로구 이화장길 70-11
3호선,무악재,인왕산,서울특별시 종로구 무악동 산2-1
6호선,구산,인조별서유기비,서울특별시 은평구 역촌동
5호선,광화문,일민미술관,서울특별시 종로구 세종대로 152
3호선,대화,일산동물의왕국,경기도 고양시 일산서구 장수길 29
3호선,정발산,일산호수,경기도 고양시 일산동구 장항동
1호선,대방,자매공원,서울특별시 영등포구 의사당대로 166
1호선,소요산,자유수호평화박물관,경기도 동두천시 평화로2910번길 96-63 (상봉암동)
2호선,잠실새내,잠실 이랜드크루즈,서울특별시 송파구 잠실동
6호선,창신역,장수마을,서울특별시 성북구 삼선교로4길 186 구립삼선1동노인정
1호선,수원,장안문,경기도 수원시 팔달구 장안동
6호선,돌곶이역,장위시장,서울특별시 성북구 장위동 68-185
3호선,동대입구,장충단공원,서울특별시 중구 동호로 261
3호선,동대입구,장충단비,서울특별시 중구 장충동2가
3호선,동대입구,장충동 족발거리,서울특별시 중구 장충단로 176
3호선,동대입구,장충체육관,서울특별시 중구 동호로 241
4호선,삼각지,전쟁기념관,서울특별시 용산구 이태원로 29 전쟁기념관
6호선,삼각지,전쟁기념관,서울특별시 용산구 이태원로 29 전쟁기념관
1호선,종로3가,전태일기념관,서울특별시 종로구 청계천로 105 아름다운청년 전태일기념관
5호선,종로3가,전태일기념관,서울특별시 종로구 청계천로 105 아름다운청년 전태일기념관
1호선,종로3가,전협집터(대동단거점),서울특별시 종로구 봉익동
5호선,종로3가,전협집터(대동단거점),서울특별시 종로구 봉익동
2호선,합정,절두산 순교기념관,서울특별시 마포구 합정동
6호선,합정,절두산 순교기념관,서울특별시 마포구 합정동
2호선,왕십리,젊음의거리,서울특별시 성동구 행당동
1호선,시청,정동교회,서울특별시 중구 정동길 46 정동교회
2호선,시청,정동교회,서울특별시 중구 정동길 46 정동교회
1호선,시청,정동극장,서울특별시 중구 정동길 43 정동극장
2호선,시청,정동극장,서울특별시 중구 정동길 43 정동극장
5호선,서대문,정동극장,서울특별시 중구 정동길 43 정동극장
4호선,성신여대입구,정릉,서울특별시 성북구 아리랑로19길 116
1호선,종각,조계사,서울특별시 종로구 우정국로 55
1호선,망월사,조망바위,경기도 의정부시 장암동 산30
1호선,종로3가,조선교육협회회관터,서울특별시 중구 수표동
5호선,종로3가,조선교육협회회관터,서울특별시 중구 수표동
1호선,종로3가,조선여성동우회회관터,서울특별시 종로구 낙원동
5호선,종로3가,조선여성동우회회관터,서울특별시 종로구 낙원동
5호선,광화문,조선일보미술관,서울특별시 중구 세종대로21길 33 조선일보사
5호선,광화문,조흥 금융박물관,서울특별시 중구 세종대로 135-5 한국금융사박물관
1호선,종로3가,종로3가보쌈골목,서울특별시 종로구 관수동 42-1
5호선,종로3가,종로3가보쌈골목,서울특별시 종로구 관수동 42-1
1호선,종로3가,종로귀금속거리,서울특별시 종로구 종로3가
5호선,종로3가,종로귀금속거리,서울특별시 종로구 종로3가
1호선,종로3가,종묘,서울특별시 종로구 종로 157
3호선,종로3가,종묘,서울특별시 종로구 종로 157
3호선,종로3가,종묘,서울특별시 종로구 종로 157
5호선,종로3가,종묘,서울특별시 종로구 종로 157
5호선,종로3가,종묘,서울특별시 종로구 종로 157
1호선,종로3가,종묘외대문,서울특별시 종로구 훈정동
5호선,종로3가,종묘외대문,서울특별시 종로구 훈정동
1호선,의정부,직동테마공원,경기도 의정부시 의정부동
4호선,혜화,"짚, 풀 생활사 박물관",서울특별시 종로구 성균관로4길 45
4호선,혜화,창경궁,서울특별시 종로구 창경궁로 185 창경궁
3호선,안국,창덕궁,서울특별시 종로구 율곡로 99
3호선,종로3가,창덕궁,서울특별시 종로구 율곡로 99
5호선,종로3가,창덕궁,서울특별시 종로구 율곡로 99
3호선,안국,천도교 수운회관,서울특별시 종로구 삼일대로 457
3호선,안국,천도교중앙대교당,서울특별시 종로구 경운동
7호선,수락산,천상병공원,서울특별시 노원구 상계동 1006-4
8호선,암사,천호동 공원,서울특별시 강동구 올림픽로 702 해공도서관
5호선,광화문,청계광장,서울특별시 종로구 서린동 14-1
6호선,동묘앞,청계천(다산교),서울특별시 종로구 창신동
6호선,동묘앞,청계천(맑은내다리),서울특별시 종로구 창신동
6호선,동묘앞,청계천(영도교),서울특별시 종로구 숭인동
5호선,왕십리,청계천문화관,서울특별시 성동구 청계천로 530 청계천박물관
2호선,방배,청권사,서울특별시 서초구 방배동
7호선,내방,청권사,서울특별시 서초구 방배동
2호선,방배,청권사부묘소,서울특별시 서초구 방배동
7호선,청담,청담공원,서울특별시 강남구 청담동 66
7호선,청담,청담동명품거리,서울특별시 강남구 청담동 145
6호선,창신역,청룡사,서울특별시 종로구 동망산길 65
3호선,경복궁,청와대사랑채,서울특별시 종로구 효자동 150
3호선,안국,체신기념관,서울특별시 종로구 우정국로 59
4호선,수리산,초막골생태공원,경기도 군포시 산본동 917-3
1호선,종로3가,최시형순교지,서울특별시 종로구 묘동
5호선,종로3가,최시형순교지,서울특별시 종로구 묘동
4호선,상록수,최용신기념관,경기도 안산시 상록구 샘골서길 64 상록수공원 내 최용신기념관
5호선,광화문,칭경기념비각,서울특별시 종로구 세종로 142-3
9호선,신논현,카카오프렌즈 강남 플래그십 스토어,서울특별시 서초구 강남대로 429
1호선,방학,코리아원스텝,서울특별시 도봉구 마들로 684-19 서원아파트
2호선,삼성,코엑스 아쿠아리움,서울특별시 강남구 영동대로 513
9호선,봉은사,코엑스 아쿠아리움,서울특별시 강남구 영동대로 513
7호선,청담,코엑스아쿠아리움,서울특별시 강남구 영동대로 513
2호선,삼성,코엑스전시장,서울특별시 강남구 영동대로 513 코엑스
9호선,봉은사,코엑스전시장,서울특별시 강남구 영동대로 513 코엑스
7호선,어린이대공원,키즈오토파크,서울특별시 광진구 능동로 216 어린이대공원
1호선,종로3가,탑골공원,서울특별시 종로구 종로 99 탑골공원
3호선,종로3가,탑골공원,서울특별시 종로구 종로 99 탑골공원
3호선,종로3가,탑골공원,서울특별시 종로구 종로 99 탑골공원
5호선,종로3가,탑골공원,서울특별시 종로구 종로 99 탑골공원
5호선,종로3가,탑골공원,서울특별시 종로구 종로 99 탑골공원
6호선,화랑대,태릉,서울특별시 노원구 화랑로 727
1호선,의정부,태조이성계상,경기도 의정부시 의정부동
1호선,동묘앞,테지움 테디베어,서울특별시 종로구 지봉로 19 시즌빌딩 지하 1층
6호선,동묘앞,테지움 테디베어,서울특별시 종로구 지봉로 19 시즌빌딩 지하 1층
2호선,강변,테크노마트,서울특별시 광진구 광나루로56길 85 테크노-마트21
6호선,상수,트릭아이뮤지엄 서울,서울특별시 마포구 홍익로3길 20 지하2층
1호선,종로3가,파조교(6.10독립만세선창지),서울특별시 종로구 묘동
5호선,종로3가,파조교(6.10독립만세선창지),서울특별시 종로구 묘동
1호선,수원,팔달문,경기도 수원시 팔달구 정조로 780 팔달문
6호선,마포구청,평화의공원,서울특별시 마포구 상암동
7호선,온수,푸른수목원,서울특별시 구로구 연동로 240
5호선,천호,풍납토성,서울특별시 송파구 풍납동 72-1
8호선,천호,풍납토성,서울특별시 송파구 풍납동 72-1
7호선,강남구청,피규어뮤지엄w,서울특별시 강남구 선릉로158길 3 Ys Roo
6호선,월드컵경기장(성산)역,"하늘공원,노을공원, 평화공원, 월드컵공원",서울특별시 마포구 하늘공원로 108-1
7호선,상동,하이주 부천점,경기도 부천시 길주로 105 세이브존 백화점 4층
7호선,학동역,학동공원,서울특별시 강남구 논현동
5호선,천호,한강 시민공원,서울특별시 강동구 천호동
7호선,뚝섬유원지,한강 시민공원,서울특별시 광진구 강변북로 139
3호선,잠원,한강 시민공원,서울특별시 서초구 잠원동
2호선,잠실새내,한강 시민공원,서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터
5호선,여의나루,한강 시민공원,서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터
4호선,이촌,한강 시민공원,서울특별시 용산구 이촌로72길 62 한강공원 이촌안내센터
5호선,여의나루,한강 유람선 선착장,서울특별시 영등포구 여의동로 280
9호선,염창,한강방어백골부대전적비,서울특별시 영등포구 양화동 153
8호선,암사,한강시민공원,서울특별시 강동구 선사로 83-66 한강사업본부 광나루안내센터
6호선,망원,한강시민공원,서울특별시 마포구 마포나루길 467 한강공원망원지구사무소
6호선,망원,한강시민공원 망원지구 수영장,서울특별시 마포구 망원동 312-6
7호선,반포역,한강시민공원 반포지구,서울특별시 서초구 신반포로11길 40 한강공원 반포 안내센터
6호선,이태원,한국 이슬람중앙성원,서울특별시 용산구 우사단로10길 39
7호선,숭실대입구,한국기독교박물관,서울특별시 동작구 상도로 369 숭실대학교
6호선,수색역,한국영상자료원,서울특별시 마포구 월드컵북로 400 문화콘텐츠센터
3호선,충무로,한국의 집,서울특별시 중구 퇴계로36길 10
4호선,충무로,한국의 집,서울특별시 중구 퇴계로36길 10
5호선,여의도,한국잡지박물관,서울특별시 영등포구 여의대방로67길 11
3호선,정발산,한아름딸기농원,경기도 고양시 일산동구 멱절길 324-21
1호선,종로3가,한양의원터,서울특별시 종로구 낙원동
5호선,종로3가,한양의원터,서울특별시 종로구 낙원동
3호선,남부터미널,한원미술관,서울특별시 서초구 남부순환로 2423
1호선,소요산,한탄이호왕박사기념관,경기도 동두천시 평화로2910번길 96 자유수호평화박물관
7호선,천왕,항동철길,서울특별시 구로구 오리로 1189
6호선,녹사평,해방촌,서울특별시 용산구 용산동2가
1호선,수원,행궁동벽화마을,경기도 수원시 팔달구 북수동
1호선,신창,향련원,충청남도 아산시 신창면 서부남로 813
9호선,가양,허준박물관,서울특별시 강서구 허준로 87
5호선,발산,허준박물관,서울특별시 강서구 허준로 87 허준박물관
3호선,양재,헌인릉,서울특별시 서초구 헌인릉길 36-10
1호선,방학,헬로애니멀,서울특별시 도봉구 마들로 650 도봉월드상가 1층 119호
9호선,동작,현충원,서울특별시 동작구 현충로 210
1호선,동두천중앙,현충탑,경기도 동두천시 생연동
4호선,한성대입구,혜화문,서울특별시 종로구 혜화동
2호선,신림,호림박물관,서울특별시 관악구 남부순환로152길 53 호림박물관
5호선,서대문,호암아트홀,서울특별시 중구 서소문로 88 서소문빌딩
6호선,상수,홍대거리,서울특별시 마포구 서교동
6호선,상수,홍대벽화거리,서울특별시 마포구 상수동 72-36
6호선,상수,홍대클럽거리,서울특별시 마포구 상수동
1호선,소요산,홍덕문선생추모비,경기도 동두천시 상봉암동 산32-1
6호선,마포구청,홍제천,서울특별시 마포구 성산동
4호선,초지,화랑유원지,경기도 안산시 단원구 동산로 268
1호선,화서,화서문,경기도 수원시 팔달구 장안동 334
1호선,수원,화성행궁,경기도 수원시 팔달구 정조로 825
2호선,신당,황학동 만물시장,서울특별시 중구 황학동
6호선,신당,황학동 만물시장,서울특별시 중구 황학동
1호선,회기,회기역파전골목,서울특별시 동대문구 회기로28길 8
1호선,회룡,회룡사(경기),경기도 의정부시 전좌로155번길 262
2호선,방배,효령대군묘,서울특별시 서초구 방배동 24-2
5호선,공덕,효창공원,서울특별시 용산구 효창동
6호선,효창공원앞,효창공원,서울특별시 용산구 효창동
4호선,동대문,흥인지문,서울특별시 종로구 종로 288 흥인지문
1호선,신평,다대포 해수욕장,부산광역시 사하구 다대동
1호선,하단,낙동강하류철새도래지,부산광역시 사하구 하단동 1212
1호선,하단,을숙도조각공원,부산광역시 사하구 하단동
1호선,하단,가덕도,부산광역시 강서구 천성동 산6-98
1호선,자갈치,자갈치,부산광역시 중구 자갈치해안로 52 자갈치시장
1호선,남포,태종대,부산광역시 영도구 전망로 24
1호선,남포,용두산공원,부산광역시 중구 용두산길 37-55
1호선,남포,BIFF광장,부산광역시 중구 남포길 10
1호선,남포,광복동패션거리,부산광역시 중구 광복로 72-1
1호선,남포,국제시장,부산광역시 중구 신창동4가
1호선,남포,창선동 먹자골목,부산광역시 중구 남포동5가
1호선,중앙,부산근대사역사관,부산광역시 중구 대청로 104
1호선,중앙,40계단문화관광테마거리,부산광역시 중구 중앙동4가
1호선,서면,삼광사,부산광역시 부산광역시진구 초읍천로43번길 77
1호선,서면,서면먹자골목,부산광역시 부산광역시진구 부전동
1호선,동래,동래읍성지 복천박물관,부산광역시 동래구 복천로 63 복천박물관
1호선,명륜,동래향교,부산광역시 동래구 명륜동
1호선,온천장,금강공원,부산광역시 동래구 우장춘로 175-146 칠성암
1호선,"온천장
",금강식물원,부산광역시 금정구 장전2동 산43-1
1호선,"온천장
",부산민속예술관,부산광역시 동래구 우장춘로 195-46 부산광역시민속예술관
1호선,"온천장
",부산해양자연사박물관,부산광역시 동래구 우장춘로 175 부산광역시해양자연사박물관
1호선,부산대,부산대앞 쇼핑거리,부산광역시 금정구 장전동
1호선,장정,한국순교자기념관,부산광역시 금정구 오륜대로 106-1
1호선,장정,회동수원지,부산광역시 금정구 회동동
1호선,구서,금정문화회관,부산광역시 금정구 체육공원로 7 금정문화회관(소공연장)
1호선,범어사,범어사,부산광역시 금정구 범어사로 250 범어사
1호선,범어사,금정산,경남 양산시 동면 가산리 산1-1
1호선,범어사,금정산성,부산광역시 금정구 금성동
1호선,노포,금정체육공원,부산광역시 금정구 체육공원로399번길 324 스포원파크
1호선,노포,금정경륜장,부산광역시 금정구 체육공원로399번길 324 스포원파크
2호선,장산,해동용궁사,부산광역시 기장군 기장읍 용궁길 86 해동용궁사
2호선,중동,달맞이고개,부산광역시 해운대구 달맞이길 190
2호선,해운대,해운대해수욕장,부산광역시 해운대구 우동
2호선,해운대,부산아쿠아리움,부산광역시 해운대구 해운대해변로 266
2호선,해운대,송정해수욕장,부산광역시 해운대구 송정동 712-2
2호선,해운대,기장대변항,부산광역시 기장군 기장읍 대변리
2호선,동백,동백섬 누리마루 APEC하우스,부산광역시 해운대구 우동 710-1
2호선,동백,시네마데크 부산,부산광역시 해운대구 수영강변대로 120
2호선,시림미술관,올림픽공원,부산광역시 해운대구 우동 1413-5
2호선,시림미술관,부산시립미술관,부산광역시 해운대구 APEC로 58 부산광역시시립미술관
2호선,시림미술관,부산영화촬영스튜디오,부산광역시 해운대구 해운대해변로 52
2호선,시림미술관,요트경기장,부산광역시 해운대구 해운대해변로 84
2호선,센텀시티,BEXCO,부산광역시 해운대구 APEC로 55
2호선,센텀시티,APEC 나루공원,부산광역시 해운대구 수영강변대로 93
2호선,광안,광안리 해수욕장,부산광역시 수영구 광안해변로 219
2호선,광안,광안대교,부산광역시 수영구 민락동
2호선,광안,오륙도,부산광역시 남구 용호동 936-941
2호선,대연,부산문화회관,부산광역시 남구 유엔평화로76번길 1 부산광역시문화회관
2호선,대연,부산박물관,부산광역시 남구 유엔평화로 63 부산광역시광역시시립박물관
2호선,대연,UN기념공원,부산광역시 남구 대연4동 799-14
3호선,종합운동장,부산아시아드 주경기장,부산광역시 연제구 월드컵대로 344 부산광역시아시아드주경기장
3호선,덕천,구포시장,부산광역시 북구 구포시장2길 7
3호선,체육공원,강서체육공원,부산광역시 강서구 대저1동 2158
4호선,충렬사,충렬사,부산광역시 동래구 충렬대로 347
4호선,반여농사물시장,반여농산물시장,부산광역시 해운대구 수영강변대로 626